Question,Human_Answer,Bot_Answer,BERT
List all the hashes associated with 'Trojan.Generic.33720153 (B)'?,"sha1: 58694c2ee18abee9c4787d8d555be5c59476f563, sha256: f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab, sha1: a199f303f0b7cc164a64a8ef4261d4166596e2c9, sha256: fda58ff7e7889c557c06b4a2cace1f675cf3f1a067fba37678fcf7066f4670313,  sha1: b5ce8b34693d46981380e6e1fe69dbd7a4deeee9, sha256: f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557'",\n- sha1: 58694c2ee18abee9c4787d8d555be5c59476f563\n- sha256: f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab\n- sha1: a199f303f0b7cc164a64a8ef4261d4166596e2c9\n- sha256: fda58ff7e7889c557c06b4a2cace1f675cf3f1a067fba37678fcf7066f467031\n- sha1: b5ce8b34693d46981380e6e1fe69dbd7a4deeee9\n- sha256: f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557',0.9922028183937073
List all the hashes associated with ransomware?,fc6075859524b059e190cf221cad4bf979033def92e43069ade2c919bcffd771,fc6075859524b059e190cf221cad4bf979033def92e43069ade2c919bcffd771,1.0
List all hashes associated with Backdoor?,"sha1: bbdd205d77e8fb4a90168f00fe01e09c8d3d163e
sha256: f892a86d4af2c61bf9284c3cf6608eb003b6a5570829ed3dbecb28eb69bc50d2","\n""sha1"": ""bbdd205d77e8fb4a90168f00fe01e09c8d3d163e""\n""sha256"": ""f892a86d4af2c61bf9284c3cf6608eb003b6a5570829ed3dbecb28eb69bc50d2""",0.9866549372673035
List all the hashes associated with Trojan?,"b5ce8b34693d46981380e6e1fe69dbd7a4deeee9--f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557,  58694c2ee18abee9c4787d8d555be5c59476f563--f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab,  b300669158ef98f9caaca9a50266233c8715db52--f89e0e38e38cd6df4720703d2b8b3d2217b25a60e845ec6bbd4a4a45919babb7",\n1. b5ce8b34693d46981380e6e1fe69dbd7a4deeee9\n2. f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557\n3. 58694c2ee18abee9c4787d8d555be5c59476f563\n4. f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab\n5. b300669158ef98f9caaca9a50266233c8715db52\n6. f89e0e38e38cd6df4720703d2b8b3d2217b25a60e845ec6bbd4a4a45919babb7,0.9899354577064514
List all the IOC associated with Uztuby?,"result: W32.Trojan.Uztuby, version: 1.0.0.403","""W32.Trojan.Uztuby"", ""update"": ""20231011"", ""version"": ""1.0.0.403""",0.9114474654197693
List all the IOC associated with Kryptik Trojan?,"MSIL/Kryptik.AJZK, Win32/Kryptik.HSNC, MSIL/Kryptik.AHRG","\n1. ""MSIL/Kryptik.AJZK""\n2. ""Win32/Kryptik.HSNC""\n3. ""MSIL/Kryptik.AHRG""",0.9172012209892273
List the different versions associated with Gen:Variant.Midie.119104?,"2022.6.0.32461, 35.24.1.0, 6.4.258.0, A:25.34830B:27.30012","The versions associated with Gen:Variant.Midie.119104 are ""4.0.67"" for Elastic, ""2022.6.0.32461"" for Emsisoft, ""35.24.1.0"" for FireEye, ""6.4.258.0"" for Fortinet, and ""A:25.34830B:27.30012"" for GData.",0.8418535590171814
List the IOC associated with Trojan.Win32.Fabookie.bno?,"update: 20230821, version: 1.0","""result"": ""Trojan.Win32.Fabookie.bno"", ""update"": ""20230821"", ""version"": ""1.0""",0.7807915806770325
List the sha256 of Trojan.Win32.Fabookie?,f73ae637e2fabc59414bde71d114a8c941e8d8e73f0ba1bd956c07e5c5cf67dc,f73ae637e2fabc59414bde71d114a8c941e8d8e73f0ba1bd956c07e5c5cf67dc,1.0
List all the IOC associated with Trojan.Win32.Injuke?,"Trojan.Win32.Injuke.gjpn, HEUR:Trojan.Win32.Injuke.gen, Trojan.Win32.Injects.4!c",\n1. Trojan.Win32.Injuke.gjpn\n2. HEUR:Trojan.Win32.Injuke.gen\n3. Trojan.Win32.Injects.4!c,0.960900604724884
List all the hashes associated with Trojan.Win32.Injuke?,"sha1: b03328149e8e337aaf5aa991c82ca6afb7868fff, sha256: f5bfe40d831361dd4a0e0a7aea486450f648c8a8f41113b3a821ef123b5118b9",The hashes associated with Trojan.Win32.Injuke are:\n1) sha1: b03328149e8e337aaf5aa991c82ca6afb7868fff\n2) sha256: f5bfe40d831361dd4a0e0a7aea486450f648c8a8f41113b3a821ef123b5118b9,0.9710215330123901
Which file hashes with Trojan Downloader?,fd989f1b02e14369ad076516f5d5ceb380684e7a0ba899f90cfa287e0bbf2ca7,"The file hash ""fd989f1b02e14369ad076516f5d5ceb380684e7a0ba899f90cfa287e0bbf2ca7"" has the result ""Trojan-Downloader.Win32.GCleaner.ilz"".'",0.9164006114006042
List the hashes associated with  Trojan:Win64/ClipBanker?,"sha1: 1f2aa70984f6ad9f8cd002a22699212542bd8cb7, sha256: fc0b9d2a311a40467281c79ec0822d2fce7a156a9970fc98eb57fd55c71764e6","The hashes associated with Trojan:Win64/ClipBanker are ""sha1"": ""1f2aa70984f6ad9f8cd002a22699212542bd8cb7"" and ""sha256"": ""fc0b9d2a311a40467281c79ec0822d2fce7a156a9970fc98eb57fd55c71764e6"".",0.9695491790771484
List all IOC associated with Malware.Obfus?,"Malware.Obfus/MSIL@AI.100 (RDM.MSIL2:P56Bsn2laayMBmF/qCW+9w), Malware.Obfus/MSIL@AI.100 (RDM.MSIL2:WTtkdnsvjfJ7n4gYM6cVnA), Malware.Obfus/MSIL@AI.100 (RDM.MSIL2:24tpF8oO/geKVcCjORu0Vg)","Malware.Obfus/MSIL@AI.100 (RDM.MSIL2:P56Bsn2laayMBmF/qCW+9w), Malware.Obfus/MSIL@AI.100 (RDM.MSIL2:WTtkdnsvjfJ7n4gYM6cVnA), Malware.Obfus/MSIL@AI.100 (RDM.MSIL2:24tpF8oO/geKVcCjORu0Vg)",1.0
List the different versions of  'Generic.Malware'?,"20230825, 20221204, and 20230415.","The different versions of 'Generic.Malware' are v0.1.4 with updates on 20230825, 20221204, and 20230415.",0.7650313973426819
List the different versions of Trojan.Win32.Taskun.4!c'?,"1.0, 1.0.152.174, 1.0.0.1.","\nThe different versions of Trojan.Win32.Taskun.4!c are: 1.0, 1.0.152.174, 1.0.0.1.",0.7566803693771362
List the versions associated with Generic.Trojan.Malicious.DDS?,4.5.5.54,4.5.5.54,1.0
List the different versions of 'ML.Attribute.HighConfidence'?,"1.19.0.0, 1.20.0.0, 1.21.0.0",The different versions of 'ML.Attribute.HighConfidence' are 1.21.0.0 and 1.20.0.0.,0.7674926519393921
List the different versions of 'Win64:Evo-gen [Trj]'?,"v0.1.4, 20230825 and 20221204.","The different versions of \'Win64:Malware-gen\' are ""v0.1.4"", ""20230825"", ""v0.1.4"", and ""20221204"".",0.8325837850570679
List all IOC associated with 'malicious (high confidence)' ?,"detected by Elastic, version:4.0.121, detected by Elastic, version:4.0.68 ","\n\n1. Elastic: {""detected"": true, ""result"": ""malicious (high confidence)"", ""update"": ""20231208"", ""version"": ""4.0.121""}\n2. Elastic: {""detected"": true, ""result"": ""malicious (high confidence)"", ""update"": ""20221227"", ""version"": ""4.0.68""} \n",0.7083306312561035
List the different versions of 'malicious (high confidence)' ?,"4.0.68, 4.0.83","\n4.0.68, 4.0.83, 4.0.111",0.8531680703163147
List all the different versions of Static AI - Malicious PE?,23.4.2.3,23.4.2.3,1.0
List all the IOC associated with phishing?,Phishing.Win32.Save.DotNet,\n\nPhishing.Win32.Save.DotNet,0.8954139351844788
List all the hashes associated with Trojan Genus?,"sha1: d32889713a5d96f9ebc86eeedd9c93bf1f6f97b1, sha256: fb177688138e516223438111d7f33a24ea19c9f8727f33bf48e7e933010bbc93;
sha1: b5ce8b34693d46981380e6e1fe69dbd7a4deeee9, sha256: f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557;
sha1: 58694c2ee18abee9c4787d8d555be5c59476f563, sha256: f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab.
","The hashes associated with Trojan Genus are ""sha1"": ""d32889713a5d96f9ebc86eeedd9c93bf1f6f97b1"", ""sha256"": ""fb177688138e516223438111d7f33a24ea19c9f8727f33bf48e7e933010bbc93""; ""sha1"": ""b5ce8b34693d46981380e6e1fe69dbd7a4deeee9"", ""sha256"": ""f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557""; ""sha1"": ""58694c2ee18abee9c4787d8d555be5c59476f563"", ""sha256"": ""f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab"".",0.9873761534690857
List all the hashes associated with UDS:Trojan?,"sha1: b4cf5bbb56f04eb9cf5edf777ae0b98bfbe20514, sha256: d42cc946d835131d4dcf627a1aca8eb419ac537e6e771759898c0683bb03c2b0;
sha1: 0814042261e498fee4995da3a165b325d5885d9a, sha256: fe19654aeda82b07e10241fba3ede4eb8b16e70caa3abd2f5f4757baa84f1ccc;
sha1: 58694c2ee18abee9c4787d8d555be5c59476f563, sha256: f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab.","sha1"": ""b4cf5bbb56f04eb9cf5edf777ae0b98bfbe20514"", ""sha256"": ""d42cc946d835131d4dcf627a1aca8eb419ac537e6e771759898c0683bb03c2b0""",0.9575392603874207
List all the hashes associated with UDS:Dangerous Object?,"sha1: 35d0c337c9533960d0e4786c9c098271d213e503, sha256: fc9b953b25cf6cf5af3d2cb7ba3a9752251ef3efe79dfe3862d45c57bf6f62cf
sha1: ea5271149bd177d3a21bd0b381501ebc0ecaeb29, sha256: fd24ac75f267d1cc406697651273087eaf7c5f86ff59d323fdf66a41915429b0


","""sha1"": ""35d0c337c9533960d0e4786c9c098271d213e503"", ""sha1"": ""0814042261e498fee4995da3a165b325d5885d9a"", ""sha1"": ""ea5271149bd177d3a21bd0b381501ebc0ecaeb29""",0.9623516798019409
List all the IOC associated with Trojan.Packed?,"result: Trojan.Win32.Packed.gen, update: 20230826, version:1.0","\n1. ""Ikarus"": {""detected"": true, ""result"": ""Trojan.Win32.Packed.gen"", ""update"": ""20230826"", ""version"": ""1.0""}\n2. ""tehtris"": {""detected"": false, ""result"": null, ""update"": ""20230826"", ""version"": ""v0.1.4""}\n",0.8080300688743591
